C13,68K_A\V\E\C\,IO_43
A19,68K_A0,IO_11
B19,68K_A1,IO_26
F18,68K_A2,IO_120
J22,68K_A2_MEM,IO_190
C19,68K_A3,IO_49
H22,68K_A3_MEM,IO_172
D19,68K_A4,IO_75
E19,68K_A5,IO_99
G17,68K_A6,IO_145
F19,68K_A7,IO_121
B23,68K_A8,IO_29
H17,68K_A9,IO_169
E7,68K_A10,IO_90
J10,68K_A11,IO_182
F7,68K_A12,IO_112
G7,68K_A13,IO_135
C6,68K_A14,IO_36
D6,68K_A15,IO_62
F8,68K_A16,IO_113
E5,68K_A17,IO_89
A4,68K_A18,IO_2
G8,68K_A19,IO_136
B4,68K_A20,IO_18
C4,68K_A21,IO_34
D4,68K_A22,IO_60
C9,68K_A23,IO_39
E4,68K_A24,IO_88
D9,68K_A25,IO_65
H8,68K_A26,IO_162
A3,68K_A27,IO_1
G9,68K_A28,IO_137
B3,68K_A29,IO_17
A8,68K_A30,IO_5
C3,68K_A31,IO_33
C18,68K_B\B\,IO_48
C14,68K_B\G\,IO_44
A21,68K_B\R\,IO_12
D5,68K_BCLK,IO_61/PLL3_CLKp
F11,68K_C\D\I\S\,IO_115
C7,68K_C\I\O\U\T\,IO_37
B8,68K_D0,IO_21
C8,68K_D1,IO_38
D10,68K_D2,IO_66
A7,68K_D3,IO_4
D8,68K_D4,IO_64
E10,68K_D5,IO_92
G11,68K_D6,IO_139
E11,68K_D7,IO_93
A11,68K_D8,IO_7
B11,68K_D9,IO_23
G12,68K_D10,IO_140
E12,68K_D11,IO_94
A12,68K_D12,IO_8
H13,68K_D13,IO_165
J14,68K_D14,IO_185
E14,68K_D15,IO_95
G13,68K_D16,IO_141
J15,68K_D17,IO_186
H14,68K_D18,IO_166
E15,68K_D19,IO_96
H16,68K_D20,IO_168
A17,68K_D21,IO_9
G16,68K_D22,IO_144
D15,68K_D23,IO_71
B18,68K_D24,IO_25
D16,68K_D25,IO_72
A18,68K_D26,IO_10
C16,68K_D27,IO_46
A22,68K_D28,IO_13
J17,68K_D29,IO_188
