# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Lite Edition
# File: D:\A2560K Project\FPGA\CFP95179K\CFP95179K.csv
# Generated on: Fri Jun 18 22:28:07 2021

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
CPU_A_io[0],Unknown,PIN_A19,7,B7_N1,,,,,,
CPU_A_io[1],Unknown,PIN_B19,7,B7_N1,,,,,,
CPU_A_io[2],Unknown,PIN_F18,7,B7_N1,,,,,,
CPU_A_io[3],Unknown,PIN_C19,7,B7_N1,,,,,,
CPU_A_io[4],Unknown,PIN_D19,7,B7_N1,,,,,,
CPU_A_io[5],Unknown,PIN_E19,7,B7_N0,,,,,,
CPU_A_io[6],Unknown,PIN_G17,7,B7_N1,,,,,,
CPU_A_io[7],Unknown,PIN_F19,7,B7_N0,,,,,,
CPU_A_io[8],Unknown,PIN_B23,7,B7_N0,,,,,,
CPU_A_io[9],Unknown,PIN_H17,7,B7_N2,,,,,,
CPU_A_io[10],Unknown,PIN_E7,8,B8_N2,,,,,,
CPU_A_io[11],Unknown,PIN_J10,8,B8_N1,,,,,,
CPU_A_io[12],Unknown,PIN_F7,8,B8_N2,,,,,,
CPU_A_io[13],Unknown,PIN_G7,8,B8_N2,,,,,,
CPU_A_io[14],Unknown,PIN_C6,8,B8_N2,,,,,,
CPU_A_io[15],Unknown,PIN_D6,8,B8_N2,,,,,,
CPU_A_io[16],Unknown,PIN_F8,8,B8_N2,,,,,,
CPU_A_io[17],Unknown,PIN_E5,8,B8_N2,,,,,,
CPU_A_io[18],Unknown,PIN_A4,8,B8_N2,,,,,,
CPU_A_io[19],Unknown,PIN_G8,8,B8_N2,,,,,,
CPU_A_io[20],Unknown,PIN_B4,8,B8_N2,,,,,,
CPU_A_io[21],Unknown,PIN_C4,8,B8_N2,,,,,,
CPU_A_io[22],Unknown,PIN_D4,8,B8_N2,,,,,,
CPU_A_io[23],Unknown,PIN_C9,8,B8_N1,,,,,,
CPU_A_io[24],Unknown,PIN_E4,8,B8_N2,,,,,,
CPU_A_io[25],Unknown,PIN_D9,8,B8_N1,,,,,,
CPU_A_io[26],Unknown,PIN_H8,8,B8_N2,,,,,,
CPU_A_io[27],Unknown,PIN_A3,8,B8_N2,,,,,,
CPU_A_io[28],Unknown,PIN_G9,8,B8_N2,,,,,,
CPU_A_io[29],Unknown,PIN_B3,8,B8_N2,,,,,,
CPU_A_io[30],Unknown,PIN_A8,8,B8_N1,,,,,,
CPU_A_io[31],Unknown,PIN_C3,8,B8_N2,,,,,,
CPU_D_io[0],Unknown,PIN_B8,8,B8_N1,,,,,,
CPU_D_io[1],Unknown,PIN_C8,8,B8_N1,,,,,,
CPU_D_io[2],Unknown,PIN_D10,8,B8_N1,,,,,,
CPU_D_io[3],Unknown,PIN_A7,8,B8_N1,,,,,,
