# Altium Pin Report File

Pin Designator,Net Name,Display Name,IO Bank,IO Standard,Slew Rate,Drive Strength,IO Pin,Vref Pin,CLK Pin,Config Pin,Special Pin,Group,Differential Pair
A2,VKY_+3V3,VCCIO8_1,,,,,,,,,,,
A3,68K_A27,IO_1,,,,,,,,,,,
A4,68K_A18,IO_2,,,,,,,,,,,
A5,VKY_+3V3,VCCIO8_2,,,,,,,,,,,
A6,,IO_3,,,,,,,,,,,
A7,68K_D3,IO_4,,,,,,,,,,,
A8,68K_A30,IO_5,,,,,,,,,,,
A9,VKY_+3V3,VCCIO8_3,,,,,,,,,,,
A10,68K_S\C\D\,IO_6,,,,,,,,,,,
A11,68K_D8,IO_7,,,,,,,,,,,
A12,68K_D12,IO_8,,,,,,,,,,,
A13,VKY_+3V3,VCCIO8_4,,,,,,,,,,,
A14,,CLK10,,,,,,,,,,,
A15,OSC_CLK_14.318Mhz,CLK8,,,,,,,,,,,
A16,VKY_+3V3,VCCIO7_1,,,,,,,,,,,
A17,68K_D21,IO_9,,,,,,,,,,,
A18,68K_D26,IO_10,,,,,,,,,,,
A19,68K_A0,IO_11,,,,,,,,,,,
A20,VKY_+3V3,VCCIO7_2,,,,,,,,,,,
A21,68K_B\R\,IO_12,,,,,,,,,,,
A22,68K_D28,IO_13,,,,,,,,,,,
A23,68K_D31,IO_14,,,,,,,,,,,
A24,VKY_+3V3,VCCIO7_3,,,,,,,,,,,
A25,68K_S\R\A\M\_\B\E\3\,IO_15,,,,,,,,,,,
A26,68K_S\R\A\M\_\B\E\2\,IO_16,,,,,,,,,,,
A27,VKY_+3V3,VCCIO7_4,,,,,,,,,,,
AA1,VKY_+3V3,VCCIO2_4,,,,,,,,,,,
AA2,DGND,GND_98,,,,,,,,,,,
AA3,VRAM_A_A8,IO_336,,,,,,,,,,,
AA4,VRAM_A_A7,IO_337,,,,,,,,,,,
AA5,VRAM_A_A6,IO_338,,,,,,,,,,,
AA6,VRAM_A_A5,IO_339,,,,,,,,,,,
AA7,VRAM_A_A4,IO_340,,,,,,,,,,,
AA8,VRAM_B_DQ1,IO_341,,,,,,,,,,,
AA9,DGND,GNDA1,,,,,,,,,,,
AA10,VRAM_B_DQ7,IO_342,,,,,,,,,,,
AA11,VKY_+3V3,VCCIO3_1,,,,,,,,,,,
AA12,VRAM_B_DQ21,IO_343,,,,,,,,,,,
AA13,VRAM_B_DQ28,IO_344,,,,,,,,,,,
AA14,VRAM_B_A6,IO_345,,,,,,,,,,,
AA15,VID_B_PIX4,IO_346,,,,,,,,,,,
AA16,VID_A_HP_I\N\T\1\,IO_347,,,,,,,,,,,
AA17,VID_A_DE,IO_348,,,,,,,,,,,
AA18,VKY_+3V3,VCCIO4_1,,,,,,,,,,,
AA19,IO_D0,IO_349,,,,,,,,,,,
AA20,DGND,GNDA4,,,,,,,,,,,
AA21,IDE_IORDY,IO_350,,,,,,,,,,,
AA22,CODEC_DAC_BCLK,IO_351,,,,,,,,,,,
AA23,CODEC_ADC_LRCK,IO_352,,,,,,,,,,,
AA24,AUD3_SDTI,IO_353,,,,,,,,,,,
AA25,LPC_LAD0,IO_354,,,,,,,,,,,
AA26,SYSRAM_DQ19,IO_355,,,,,,,,,,,
AA27,DGND,GND_99,,,,,,,,,,,
AA28,VKY_+3V3,VCCIO5_4,,,,,,,,,,,
AB1,VRAM_A_DQM1,IO_356,,,,,,,,,,,
AB2,VRAM_A_DQ8,IO_357,,,,,,,,,,,
AB3,VRAM_A_DQ9,IO_358,,,,,,,,,,,
AB4,VRAM_A_CLK,IO_359,,,,,,,,,,,
AB5,VRAM_A_CKE,IO_360,,,,,,,,,,,
AB6,VRAM_A_A9,IO_361,,,,,,,,,,,
AB7,VRAM_B_DQ2,IO_362,,,,,,,,,,,
AB8,VRAM_B_W\E\,IO_363,,,,,,,,,,,
AB9,VRAM_B_DQM0,IO_364,,,,,,,,,,,
AB10,VRAM_B_DQM2,IO_365,,,,,,,,,,,
AB11,VRAM_B_DQ22,IO_366,,,,,,,,,,,
AB12,VRAM_B_DQ29,IO_367,,,,,,,,,,,
AB13,VRAM_B_A7,IO_368,,,,,,,,,,,
AB14,VRAM_B_DQ11,IO_369,,,,,,,,,,,
AB15,VID_B_PIX5,IO_370,,,,,,,,,,,
AB16,VID_A_VSYNC,IO_371,,,,,,,,,,,
AB17,VID_A_PIX3,IO_372,,,,,,,,,,,
AB18,IO_D10,IO_373,,,,,,,,,,,
AB19,IO_D12,IO_374,,,,,,,,,,,
AB20,IO_D15,IO_375,,,,,,,,,,,
AB21,IDE_R\E\S\E\T\,IO_376,,,,,,,,,,,
AB22,IDE_C\S\0\,IO_377,,,,,,,,,,,
AB23,CODEC_DAC_LRCK,IO_378,,,,,,,,,,,
AB24,AUD2_MCLK,IO_379,,,,,,,,,,,
AB25,AUD3_LRCK,IO_380,,,,,,,,,,,
AB26,SYSRAM_DQ16,IO_381,,,,,,,,,,,
AB27,SYSRAM_DQ17,IO_382,,,,,,,,,,,
AB28,SYSRAM_DQ18,IO_383,,,,,,,,,,,
AC1,VRAM_A_DQ12,IO_384,,,,,,,,,,,
AC2,VRAM_A_DQ13,IO_385,,,,,,,,,,,
AC3,VRAM_A_DQ14,IO_386,,,,,,,,,,,
AC4,VRAM_A_DQ11,IO_387,,,,,,,,,,,
AC5,VRAM_A_DQ10,IO_388,,,,,,,,,,,
AC6,DGND,GND_100,,,,,,,,,,,
AC7,VRAM_B_C\A\S\,IO_389,,,,,,,,,,,
AC8,VRAM_B_BA0,IO_390,,,,,,,,,,,
AC9,DGND,GND_101,,,,,,,,,,,
AC10,VRAM_B_DQ23,IO_391,,,,,,,,,,,
AC11,VRAM_B_DQ30,IO_392,,,,,,,,,,,
AC12,VRAM_B_A8,IO_393,,,,,,,,,,,
AC13,DGND,GND_102,,,,,,,,,,,
AC14,VRAM_B_CKE,IO_394,,,,,,,,,,,
AC15,VID_B_PIX6,IO_395,,,,,,,,,,,
AC16,DGND,GND_103,,,,,,,,,,,
AC17,VID_A_PIX4,IO_396,,,,,,,,,,,
AC18,DIP_C\S\0\,IO_397,,,,,,,,,,,
AC19,IO_D6,IO_398,,,,,,,,,,,
AC20,DGND,GND_104,,,,,,,,,,,
AC21,IO_D1,IO_399,,,,,,,,,,,
AC22,IO_R\D\,IO_400,,,,,,,,,,,
AC23,DGND,GND_105,,,,,,,,,,,
AC24,CODEC_DAC_DAT,IO_401,,,,,,,,,,,
AC25,AUD2_BICK,IO_402,,,,,,,,,,,
AC26,LPC_I\R\Q\,IO_403,,,,,,,,,,,
AC27,LPC_LAD3,IO_404,,,,,,,,,,,
AC28,LPC_LAD2,IO_405,,,,,,,,,,,
AD1,JOY0_BTN0,IO_406,,,,,,,,,,,
AD2,JOY0_UP,IO_407,,,,,,,,,,,
AD3,VRAM_A_DQ15,IO_408,,,,,,,,,,,
AD4,VRAM_B_DQ3,IO_409,,,,,,,,,,,
AD5,VRAM_B_DQ4,IO_410,,,,,,,,,,,
AD6,VKY_+3V3,VCCIO3_2,,,,,,,,,,,
AD7,VRAM_B_BA1,IO_411,,,,,,,,,,,
AD8,VRAM_B_DQ16,IO_412,,,,,,,,,,,
AD9,VKY_+3V3,VCCIO3_3,,,,,,,,,,,
AD10,VRAM_B_DQ31,IO_413,,,,,,,,,,,
